"total_expenditure","food_expenditure","education_expenditure","kerosene_expenditure","electricity_expenditure","kerosene_lamps","num_kerosene_lamps","kerosene_lamp_hours","kerosene_other","lighting_hours","child_lighting","adult_lighting","appliances","appliance_use","adult_activity","child_activity","satisfaction_reliability","satisfaction_cost","satisfaction_safety","satisfaction_brightness","satisfaction","satisfaction_chng","elec_value","satisfaction_business","income_increase","business_interest","aspirations","knowledge","distance","instrument","treat","gender","birthplace","age","religion","caste","education","homeBuilt","yrsConnected","elec_hours","Pole","hours_avail","outages","low_voltage","adult_home_work","adult_home_cook","adult_home_charge","adult_home_clean","adult_home_leisure","adult_home_time","lighting_business","lighting_friends_family","lighting_studying","lighting_reading","lighting_media","lighting_other","mobile","ic_bulb","cfl_bulb","led_light","tube_light","fans","iron","refrigerator","television","radio","cooler","washing_machine","electric_stove","inverter","water_pump","other","respond","total_expenditure_obs"
3000,2500,0,0,NA,0,0,0,0,2,0,0,1,2,3,0,4,4,4,4,3.4,4,100,NA,1,0,3.2,0,58,0,0,0,1,50,1,1,TRUE,NA,NA,NA,1008,NA,NA,NA,2,2,0,1,3,10,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3000
2000,1500,0,25,NA,1,2,6,0,1.33333333333333,0,0,0,0,3,1.85714285714286,4,4,4,4,3.6,2,100,NA,0,0,3.2,0,55,0,0,0,1,45,1,0,FALSE,NA,NA,NA,1009,NA,NA,NA,2,2,0,1,3,10,0,0,0,0,0,8,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
5000,3000,1000,52,NA,1,2,4,0,0,0,0,1,0.15,3.33333333333333,2.71428571428571,5,4,4,3,3.8,3,150,NA,1,1,3.6,0,34,1,0,1,0,52,1,1,FALSE,NA,NA,NA,1009,NA,NA,NA,3,2,1,1,1,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2000,1500,0,24,NA,1,2,8,0,0.833333333333333,0,0,0,0,3.16666666666667,2,4,4,2,4,3,2,100,NA,1,0,3.6,0,45,0,0,0,1,50,1,0,TRUE,NA,NA,NA,1009,NA,NA,NA,2,2,0,1,2,12,0,0,0,0,0,5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000
4000,2500,0,52,NA,1,2,3,0,0,0,0,0,0,3.5,2,4,4,4,4,3.6,3,200,NA,0,1,3.2,0,28,1,0,1,0,30,1,1,FALSE,NA,NA,NA,1009,NA,NA,NA,2,3,0,0,2,14,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2500,1500,0,0,NA,0,0,0,0,0.333333333333333,0,0,1,2,3,2,4,3,4,4,3.2,4,100,NA,0,1,3.2,0,57,0,0,0,1,45,0,0,TRUE,57,NA,NA,1010,NA,NA,NA,2,2,0,1,3,10,0,0,0,0,0,2,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2500
3000,1500,0,0,NA,0,0,0,0,1.5,4.5,0,2,6,3.16666666666667,2.42857142857143,4,4,4,4,3.4,4,0,NA,0,0,3.2,0,53,0,0,0,1,40,0,0,FALSE,8,NA,NA,1010,NA,NA,NA,2,1,0,2,4,10,0,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
50000,10000,6000,0,223,0,0,0,0,1,0.5,0,11,41,3.5,2.57142857142857,2,3,2,4,2.6,4,200,NA,0,0,4.4,0.3,25,1,1,0,1,19,0,0,TRUE,12,0.41,11,1010,11,5.66666666666667,4,2,2,0,2,0,15,0,4,1,1,0,0,5,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,50000
15000,10000,1500,0,500,0,0,0,0,0.666666666666667,2,0,16,48,3.83333333333333,3,2,3,3,4,2.8,4,0,NA,0,1,4.6,0.5,45,0,1,0,1,25,0,0,TRUE,30,0.41,11,1010,11,4,3.66666666666667,2,3,0,2,3,13,0,2,1,1,0,0,10,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,15000
16000,10000,500,140,0,1,4,4,0,0.166666666666667,0.5,0,8,5,3.16666666666667,2.14285714285714,4,4,4,4,3.8,4,0,NA,0,0,3.2,0.1,33,1,1,0,1,55,1,0,TRUE,8,0.41,7.66666666666667,1011,7.66666666666667,3.66666666666667,3.66666666666667,3,4,0,2,1,9,0,1,0,0,0,0,3,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
3000,2000,20,0,NA,0,0,0,0,1,0,0,3,4,2.5,2.14285714285714,5,4,5,5,4,5,0,NA,0,0,3,0,55,0,0,1,0,26,1,0,FALSE,4,NA,NA,1012,NA,NA,NA,2,3,0,1,1,8,0,6,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3000
6000,5000,0,56,0,1,2,2,0,0,0,0,5,0.3,2.83333333333333,3.14285714285714,3,5,5,5,4,5,0,NA,0,0,3.4,0,55,0,0,1,0,22,1,0,FALSE,15,1,8.66666666666667,1011,8.66666666666667,4,1.66666666666667,1,2,0,1,1,12,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,6000
6000,3000,500,56,NA,1,2,3,0,0.333333333333333,0.5,0,2,2,3,1.85714285714286,4,4,4,4,3.6,3,0,NA,0,0,3.2,0.1,25,1,0,0,1,35,0,0,FALSE,6,NA,NA,1011,NA,NA,NA,3,4,0,1,1,9,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6000
6000,3000,800,84,200,1,3,4,0,0.166666666666667,1,0,4,3,2.83333333333333,1.71428571428571,3,3,3,3,2.8,4,0,NA,0,0,3.4,0,34,1,1,1,0,26,1,0,FALSE,5,6,8.66666666666667,1012,8.66666666666667,3.33333333333333,5.33333333333333,3,2,0,2,1,9,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,NA
8000,5000,200,0,NA,0,0,0,0,1.16666666666667,0.5,0,1,1,2.16666666666667,1.85714285714286,4,2,4,3,2.8,4,100,NA,1,1,3.4,0,59,0,0,1,0,40,1,0,FALSE,4,NA,NA,1012,NA,NA,NA,2,2,0,0,1,8,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
5000,3000,300,56,NA,1,2,6,0,0.5,0,0,1,1,2.83333333333333,2.14285714285714,3,2,3,2,2.4,4,70,NA,0,0,3.8,0.2,47,0,0,1,0,37,1,0,FALSE,6,NA,NA,1011,NA,NA,NA,1,3,0,2,1,10,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
